,Correlation
FBN1,-0.020510490345386285
ANTXR1,-0.005381825438831167
LUM,-0.002885576388833381
MMP2,0.0006831077649216482
OLFML3,-0.0147160207794265
CTHRC1,0.003787562517099103
LOXL1,0.021882247315604588
GPX8,0.006931345622752339
CD276,0.00013323236780693806
FKBP10,-0.013913745136003571
SERPINH1,-0.006751304551454261
CNN3,-0.025905633655366446
SGCB,-0.011724991443860626
MDFI,-0.023153832045607822
SDC2,-0.012604590658266747
PCOLCE,0.009803265344817026
EMILIN1,-0.006067809561640373
MRC2,-0.01619301211953117
LOX,-0.009107642063236453
UNC5B,-0.008478996380788908
ISLR,0.01643326541914184
MMP11,0.0017215985943484769
IGFBP7,0.0046582782872700585
RARRES2,0.003437127810263554
THY1,0.020931853100007693
CNN1,0.00495089688649413
MYH11,-0.002567355126286358
TPM2,0.01813434259136665
MYL9,0.022509490993516703
SPARCL1,-0.0031156558539287204
CALD1,-0.0023200371591162354
ACTA2,-0.0049281479665670485
TAGLN,-0.0044689125939401195
FBLN2,-0.005097115185824645
PDPN,-0.006942439154891874
IGFBP4,-0.022094685565805926
NNMT,0.0036309353257591454
C1R,-0.011492057372446537
C1S,-0.019659470369196443
CCDC80,-0.021675646584205108
SFRP4,-0.01065379370213031
CCN1,-0.008906992852943935
CCN2,0.0015764309750548877
DPYSL3,0.006396276925084432
LTBP2,-0.007899042283212475
SERPINE1,-0.012756959717131833
AXL,-0.0025824581327036243
CAVIN1,-0.0017899084740483596
EHD2,-0.007560837154307632
HSPG2,-0.007488260269991453
PXDN,-0.016251321148345425
ELN,0.00647236011646784
MFAP4,0.00797552590244268
DEPP1,0.018158134721101574
FNDC4,-0.020198388407231666
NRP1,-0.02785737847926763
ANXA5,0.0308984306054005
PXDC1,0.020184430825649073
FABP3,0.007472758963735868
CITED4,-0.002635125993656736
CPXM1,0.026608417948067044
ANO1,0.004833543566613487
MSX1,-0.003637420177009006
GJA4,0.0009519716300208333
SLC7A2,0.007173831598256971
PGGHG,-0.021456216639789562
SPOCK2,-0.009988194644611778
TGM2,-0.0015824770404759413
CD24,0.016916828217249005
IRX3,-0.02577014272484192
CHI3L1,0.005081564008379688
FRZB,0.019435468175488038
MT1E,0.0010209146189018522
MT1F,0.008972155952018944
MT2A,0.004237087235634555
MT1G,-0.015172877179785367
MT1M,-0.024384965391645967
NFIB,0.017746228834255542
STC1,-0.005438801865035201
MEST,-0.013430480098436242
NR2F2,0.0015322815341945793
OLFM2,0.0025225016633880063
GAS1,0.0032539538046167725
IGFBP5,0.01291931746210869
TOP2A,0.007336711940818861
CDC20,0.030271036225518598
UBE2C,0.042595497195793884
SELENOM,-0.0018058415647312454
RBP1,0.020136166513478524
RPL39L,0.009107902525031495
MMP7,0.041005842379369356
SLC40A1,-0.026766337149199806
TRNP1,-0.0018316846960041635
H2AW,0.012233557785813667
CYSTM1,0.05311718780140976
METTL7B,0.02055379372737904
C4orf48,0.03321535415982988
CST3,0.03703114377796927
INHBB,0.019214686312346997
MAL,0.012422295713537394
PLEKHB1,0.027994441116392745
UCP2,0.05703564537443195
MYOF,-0.007296925954067919
NTN4,-0.034769468636811615
STEAP1,-0.006676432479611116
TC2N,-0.024728121967795433
TCEA3,0.01008097660114999
HES4,0.025809397834041518
LARGE2,0.020111866866738
CDC42EP1,0.009568148548281221
TM4SF1,0.0148215259729359
TRIM47,0.04026349423819108
GPRC5C,-0.011947020450348716
QPRT,0.021063580852873274
PON2,-0.006696913363016616
TSPAN12,-0.016331323458699736
SGPP2,0.0029748628660625854
LSR,-0.0030540415710512397
BACE2,-0.006217472067720037
RHPN2,0.004381961194002778
SPINT2,0.0031917215214111597
ADGRG1,0.022815382477597266
ASS1,0.00545679264820883
CD9,0.012810737657316329
C1orf210,0.012045631492679811
TMEM125,-0.006511907793811632
GIPC1,0.014928561205530827
AP1M2,0.012579967471521672
KDF1,0.005589850645648432
LAPTM4B,0.01884039635225203
FAM83H,0.02079020093756949
ESRP1,0.013293632241517469
MAL2,-0.002059351752354011
CEP170B,-0.013303880740980609
TMC4,0.012323014743352196
LGALS3BP,0.035260226295441115
SPINT1,0.029464062574492727
KIAA1522,-0.03167680867588343
PTPRF,-0.003158708153035395
DDR1,-0.003028040696710339
TEAD3,-0.005314937335228439
CRABP2,0.016812064539357605
CDR2L,0.006790623544941463
HID1,0.000999588728084893
SLPI,0.037957204209779646
WFDC2,0.04534597326839603
RRAS,0.0417277488765907
CHCHD10,0.02050820060732708
DUSP23,0.02732972840708615
TMEM238,0.02644934454133287
CLDN3,0.0462380994459108
PCBD1,0.03260892075494669
PPDPF,0.0483727652441235
VWA1,0.007328419654532608
CRIP2,0.02555977866730735
MUC1,-0.001559290224464464
SLC9A3R2,0.04550538581727061
CLU,0.030612862778996986
SCARA3,0.008877042588521959
